Title,Author,Genre,_id
Fundamentals of Wavelets,"Goswami, Jaideva",signal_processing,20397
Data Smart,"Foreman, John",data_science,55134
God Created the Integers,"Hawking, Stephen",mathematics,16566
Superfreakonomics,"Dubner, Stephen",economics,14550
Orientalism,"Said, Edward",history,22510
"Nature of Statistical Learning Theory, The","Vapnik, Vladimir",data_science,80249
Integration of the Indian States,"Menon, V P",history,16537
"Drunkard's Walk, The","Mlodinow, Leonard",science,87609
Image Processing & Mathematical Morphology,"Shih, Frank",signal_processing,82279
How to Think Like Sherlock Holmes,"Konnikova, Maria",psychology,65493
Data Scientists at Work,Sebastian Gutierrez,data_science,41550
Slaughterhouse Five,"Vonnegut, Kurt",fiction,52946
Birth of a Theorem,"Villani, Cedric",mathematics,14394
Structure & Interpretation of Computer Programs,"Sussman, Gerald",computer_science,19332
"Age of Wrath, The","Eraly, Abraham",history,70995
"Trial, The","Kafka, Frank",fiction,36600
Statistical Decision Theory',"Pratt, John",data_science,26945
Data Mining Handbook,"Nisbet, Robert",data_science,73099
"New Machiavelli, The","Wells, H. G.",fiction,52191
Physics & Philosophy,"Heisenberg, Werner",science,33794
Making Software,"Oram, Andy",computer_science,97123
"Analysis, Vol I","Tao, Terence",mathematics,49153
Machine Learning for Hackers,"Conway, Drew",data_science,85985
"Signal and the Noise, The","Silver, Nate",data_science,15375
Python for Data Analysis,"McKinney, Wes",data_science,88426
Introduction to Algorithms,"Cormen, Thomas",computer_science,41733
"Beautiful and the Damned, The","Deb, Siddhartha",nonfiction,75722
"Outsider, The","Camus, Albert",fiction,20329
"Complete Sherlock Holmes, The - Vol I","Doyle, Arthur Conan",fiction,80611
"Complete Sherlock Holmes, The - Vol II","Doyle, Arthur Conan",fiction,58238
"Wealth of Nations, The","Smith, Adam",economics,79393
"Pillars of the Earth, The","Follett, Ken",fiction,90972
Mein Kampf,"Hitler, Adolf",nonfiction,86805
"Tao of Physics, The","Capra, Fritjof",science,13762
Surely You're Joking Mr Feynman,"Feynman, Richard",science,17113
"Farewell to Arms, A","Hemingway, Ernest",fiction,97758
"Veteran, The","Forsyth, Frederick",fiction,13702
False Impressions,"Archer, Jeffery",fiction,69928
"Last Lecture, The","Pausch, Randy",nonfiction,26342
Return of the Primitive,"Rand, Ayn",philosophy,31103
Jurassic Park,"Crichton, Michael",fiction,68335
"Russian Journal, A","Steinbeck, John",nonfiction,14384
Tales of Mystery and Imagination,"Poe, Edgar Allen",fiction,30843
Freakonomics,"Dubner, Stephen",economics,55524
"Hidden Connections, The","Capra, Fritjof",science,71468
"Story of Philosophy, The","Durant, Will",philosophy,81453
Asami Asami,"Deshpande, P L",fiction,76114
Journal of a Novel,"Steinbeck, John",fiction,44288
Once There Was a War,"Steinbeck, John",nonfiction,81442
"Moon is Down, The","Steinbeck, John",fiction,22376
"Brethren, The","Grisham, John",fiction,17669
In a Free State,"Naipaul, V. S.",fiction,40678
Catch 22,"Heller, Joseph",fiction,22872
"Complete Mastermind, The",BBC,nonfiction,40340
Dylan on Dylan,"Dylan, Bob",nonfiction,35385
Soft Computing & Intelligent Systems,"Gupta, Madan",data_science,75334
Textbook of Economic Theory,"Stonier, Alfred",economics,49590
Econometric Analysis,"Greene, W. H.",economics,78381
Learning OpenCV,"Bradsky, Gary",data_science,15712
Data Structures Using C & C++,"Tanenbaum, Andrew",computer_science,57363
"Computer Vision, A Modern Approach","Forsyth, David",data_science,47869
Principles of Communication Systems,"Taub, Schilling",computer_science,29386
Let Us C,"Kanetkar, Yashwant",computer_science,72526
"Amulet of Samarkand, The","Stroud, Jonathan",fiction,15172
Crime and Punishment,"Dostoevsky, Fyodor",fiction,79630
Angels & Demons,"Brown, Dan",fiction,51858
"Argumentative Indian, The","Sen, Amartya",nonfiction,37601
Sea of Poppies,"Ghosh, Amitav",fiction,91516
"Idea of Justice, The","Sen, Amartya",nonfiction,48563
"Raisin in the Sun, A","Hansberry, Lorraine",fiction,69397
All the President's Men,"Woodward, Bob",history,78526
"Prisoner of Birth, A","Archer, Jeffery",fiction,37999
Scoop!,"Nayar, Kuldip",history,33828
Ahe Manohar Tari,"Deshpande, Sunita",nonfiction,92767
"Last Mughal, The","Dalrymple, William",history,66370
"Social Choice & Welfare, Vol 39 No. 1",Various,economics,30586
Radiowaril Bhashane & Shrutika,"Deshpande, P L",nonfiction,89370
Gun Gayin Awadi,"Deshpande, P L",nonfiction,88079
Aghal Paghal,"Deshpande, P L",nonfiction,45715
Maqta-e-Ghalib,"Garg, Sanjay",fiction,67240
Beyond Degrees,,nonfiction,29677
Manasa,"Kale, V P",nonfiction,93927
India from Midnight to Milennium,"Tharoor, Shashi",history,61951
"World's Greatest Trials, The",,history,29311
"Great Indian Novel, The","Tharoor, Shashi",fiction,69350
O Jerusalem!,"Lapierre, Dominique",history,56974
"City of Joy, The","Lapierre, Dominique",fiction,27758
Freedom at Midnight,"Lapierre, Dominique",history,27747
"Winter of Our Discontent, The","Steinbeck, John",fiction,84510
On Education,"Russell, Bertrand",philosophy,53369
Free Will,"Harris, Sam",philosophy,80553
Bookless in Baghdad,"Tharoor, Shashi",nonfiction,42390
"Case of the Lame Canary, The","Gardner, Earle Stanley",fiction,50865
"Theory of Everything, The","Hawking, Stephen",science,59770
New Markets & Other Essays,"Drucker, Peter",economics,83529
Electric Universe,"Bodanis, David",science,40667
"Hunchback of Notre Dame, The","Hugo, Victor",fiction,35504
Burning Bright,"Steinbeck, John",fiction,33179
"Age of Discontuinity, The","Drucker, Peter",economics,60167
Doctor in the Nude,"Gordon, Richard",fiction,79479
Down and Out in Paris & London,"Orwell, George",nonfiction,47232
Identity & Violence,"Sen, Amartya",philosophy,55197
Beyond the Three Seas,"Dalrymple, William",history,81102
"World's Greatest Short Stories, The",,fiction,57622
Talking Straight,"Iacoca, Lee",nonfiction,37436
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,78738
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,10256
Ashenden of The British Agent,"Maugham, William S",fiction,38351
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,53852
"Great War for Civilization, The","Fisk, Robert",history,38868
We the Living,"Rand, Ayn",fiction,94751
"Artist and the Mathematician, The","Aczel, Amir",science,54890
History of Western Philosophy,"Russell, Bertrand",philosophy,90662
Selected Short Stories,,fiction,75076
Rationality & Freedom,"Sen, Amartya",economics,97447
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",history,83219
Uncommon Wisdom,"Capra, Fritjof",nonfiction,62470
One,"Bach, Richard",nonfiction,92401
Karl Marx Biography,,nonfiction,18506
To Sir With Love,Braithwaite,fiction,66340
Half A Life,"Naipaul, V S",fiction,20062
"Discovery of India, The","Nehru, Jawaharlal",history,97725
Apulki,"Deshpande, P L",nonfiction,47939
Unpopular Essays,"Russell, Bertrand",philosophy,65308
"Deceiver, The","Forsyth, Frederick",fiction,50769
Veil: Secret Wars of the CIA,"Woodward, Bob",history,31196
Char Shabda,"Deshpande, P L",nonfiction,97510
Rosy is My Relative,"Durrell, Gerald",fiction,97769
"Moon and Sixpence, The","Maugham, William S",fiction,31299
Political Philosophers,,philosophy,57485
"Short History of the World, A","Wells, H G",history,17266
"Trembling of a Leaf, The","Maugham, William S",fiction,91813
Doctor on the Brain,"Gordon, Richard",fiction,94087
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,27075
Pattern Classification,"Duda, Hart",data_science,43706
From Beirut to Jerusalem,"Friedman, Thomas",history,43741
"Code Book, The","Singh, Simon",science,41134
"Age of the Warrior, The","Fisk, Robert",history,33445
Final Crisis,,comic,78023
"Killing Joke, The",,comic,91061
Flashpoint,,comic,79089
Batman Earth One,,comic,95182
Crisis on Infinite Earths,,comic,14309
"Numbers Behind Numb3rs, The","Devlin, Keith",science,61000
Superman Earth One - 1,,comic,36964
Superman Earth One - 2,,comic,77807
Justice League: Throne of Atlantis,,comic,84995
Justice League: The Villain's Journey,,comic,79046
"Death of Superman, The",,comic,94925
History of the DC Universe,,comic,54585
Batman: The Long Halloween,,comic,62714
"Life in Letters, A","Steinbeck, John",nonfiction,29204
"Information, The","Gleick, James",science,46747
"Journal of Economics, vol 106 No 3",,economics,61012
Elements of Information Theory,"Thomas, Joy",data_science,34879
Power Electronics - Rashid,"Rashid, Muhammad",computer_science,82221
Power Electronics - Mohan,"Mohan, Ned",computer_science,11403
Neural Networks,"Haykin, Simon",data_science,58878
"Grapes of Wrath, The","Steinbeck, John",fiction,10769
Vyakti ani Valli,"Deshpande, P L",nonfiction,88955
Statistical Learning Theory,"Vapnik, Vladimir",data_science,48680
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",history,48895
Empire of the Mughal - Brothers at War,"Rutherford, Alex",history,34148
Empire of the Mughal - Ruler of the World,"Rutherford, Alex",history,82147
Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",history,46266
Empire of the Mughal - Raiders from the North,"Rutherford, Alex",history,88295
Mossad,"Baz-Zohar, Michael",history,48710
Jim Corbett Omnibus,"Corbett, Jim",nonfiction,97984
20000 Leagues Under the Sea,"Verne, Jules",fiction,28901
Batatyachi Chal,Deshpande P L,fiction,21915
Hafasavnuk,Deshpande P L,fiction,89431
Urlasurla,Deshpande P L,fiction,99954
Pointers in C,"Kanetkar, Yashwant",computer_science,55084
"Cathedral and the Bazaar, The","Raymond, Eric",computer_science,31565
Design with OpAmps,"Franco, Sergio",computer_science,41595
Think Complexity,"Downey, Allen",data_science,49155
"Devil's Advocate, The","West, Morris",fiction,53214
Ayn Rand Answers,"Rand, Ayn",philosophy,39066
Philosophy: Who Needs It,"Rand, Ayn",philosophy,96000
"World's Great Thinkers, The",,philosophy,93201
Data Analysis with Open Source Tools,"Janert, Phillip",data_science,95845
Broca's Brain,"Sagan, Carl",science,41811
Men of Mathematics,"Bell, E T",mathematics,76249
Oxford book of Modern Science Writing,"Dawkins, Richard",science,60304
"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",philosophy,22289
"Arthashastra, The",Kautiyla,philosophy,17241
We the People,Palkhivala,philosophy,20146
We the Nation,Palkhivala,philosophy,29937
"Courtroom Genius, The",Sorabjee,nonfiction,30522
Dongri to Dubai,"Zaidi, Hussain",nonfiction,34871
"History of England, Foundation","Ackroyd, Peter",history,18617
City of Djinns,"Dalrymple, William",history,97298
India's Legal System,Nariman,nonfiction,22712
More Tears to Cry,"Sassoon, Jean",fiction,87732
"Ropemaker, The","Dickinson, Peter",fiction,90709
Angels & Demons,"Brown, Dan",fiction,35738
"Judge, The",,fiction,44973
"Attorney, The",,fiction,33149
"Prince, The",Machiavelli,philosophy,17104
